bus_id,hosting_capacity
1,1175.607334646745
2,349.3568969506493
3,153.86000633239746
4,473.2730617939492
5,1169.3809394881075
6,1175.607334646745
7,1387.9058763860314
8,363.4603580667284
9,1387.9058763860314
10,242.07430240318317
11,279.96298432273454
12,317.7899932861022
13,231.3640876470832
14,231.3640876470832
15,250.34835213406205
16,272.3035622016026
17,330.40629119036544
18,330.40629119036544
19,272.20954073074057
20,272.20954073074057
21,1075.1544636905369
22,389.3702715714484
23,1062.880661748481
24,917.301798966183
25,266.3226380443538
26,910.0632385380944
27,1099.301435817888
28,386.9995535992274
29,1084.7611251769638
30,373.80999023289417
31,409.5978872185147
32,409.5978872185147
33,457.2977348110163
34,457.2977348110163
35,329.63999557355305
36,329.63999557355305
37,215.12704759784305
38,193.9426659395529
39,258.29516389668794
40,258.29516389668794
41,253.4194479368689
42,289.2200050353422
43,277.09229388096594
44,209.6502913865033
45,402.8399887085012
46,292.82287363888867
47,286.01000541478334
48,1113.9404881483144
49,347.8927589395984
50,1113.9404881483144
51,254.68227188152136
52,229.1004117723267
53,229.1004117723267
54,233.097551422118
55,233.097551422118
56,273.96976208846866
57,256.9297571903257
58,533.8455645126384
59,169.94400852359638
60,533.8455645126384
61,267.96653822051246
62,200.1204427127485
63,199.92601277415704
64,194.728565865836
65,194.728565865836
66,198.0218740371495
67,222.74082992201556
68,187.49143591833104
69,284.66631632582227
70,284.66631632582227
71,507.7106507417977
72,184.41621653444813
73,506.9664777476565
74,184.82728378428664
75,184.82728378428664
76,245.2994889268956
77,227.5279222783421
78,315.1658512196662
79,315.1658512196662
80,788.0710900702827
81,307.692171555123
82,788.0710900702827
83,742.2028139522095
84,742.2028139522095
85,196.3471395368441
86,196.3471395368441
87,236.1893216347329
88,219.6866589184432
89,275.86540341592377
90,161.44405285508313
91,161.44405285508313
92,592.1642048287581
93,253.44100224669924
94,592.1642048287581
95,227.12808863874147
96,583.4298501081357
97,233.6789025592923
98,100.00000000000789
99,341.59362471415284
100,583.4298501081357
101,273.2640720335475
102,273.2640720335475
103,269.6208256720089
104,355.1310493516193
105,273.383956537456
106,249.51896260075495
107,249.51896260075495
108,201.50555667252385
109,224.6632187115617
110,224.6632187115617
111,247.88255455690677
112,208.7608068174276
113,291.9931363670346
114,224.3426180162474
115,223.02033811259176
116,223.02033811259176
117,219.7400165619506
118,203.71166901160237
119,243.20304972369627
120,243.20304972369627
121,248.86457670767797
122,248.86457670767797
123,218.5879633116935
124,218.5879633116935
125,229.5306597411632
126,218.20058152846747
127,218.20058152846747
128,195.98210817598036
129,308.77532500916544
130,288.3064053759576
131,795.1499938953626
132,445.446385910825
133,795.1499701980463
134,299.5499999523204
135,366.8015501779481
136,309.9599863874908
137,305.75692892740415
138,239.8411102572977
139,191.30277626097129
140,223.64853679304525
141,303.6906734984568
142,383.9206272741261
143,201.4796671184128
144,201.4796671184128
145,214.50431128073348
146,250.29397400740143
147,182.15892997032728
148,278.2199829155353
149,244.4185134707303
150,223.61536388628335
151,434.26979926156514
152,434.26979926156514
153,283.60999380510856
154,283.60999380510856
155,191.0895864337823
156,247.85292112948105
157,247.85292112948105
158,282.8858032814219
159,1964.4950554666384
160,362.0280856530566
161,326.1899941620205
162,438.53850019154646
163,217.62254968008065
164,217.62254968008065
165,547.7956742381299
166,398.39698726479
167,408.6506223266105
168,296.20000838635343
169,260.5107830931053
170,306.24000310776194
171,408.2904255626472
172,408.2904255626472
173,256.03725799042934
174,289.25957596453014
175,380.1005791256481
176,380.1005791256481
177,284.0500042438512
178,242.7587899720871
179,284.05999267276815
180,296.7499911562052
181,1426.51142436409
182,634.653129936636
183,1403.9443488921504
184,239.01899198466816
185,920.6323567184792
186,490.46819241194055
187,920.6323567184792
188,302.3099975582392
189,298.3570414701852
190,716.3654785122925
191,605.3488846640287
192,126.9499969482422
193,289.416156699514
194,704.7695281499514
195,217.2084666211687
196,2537.37634141924
197,653.6505663433987
198,25.0
199,185.76723759503585
200,2537.37634141924
201,192.82176823121725
202,285.70322348904034
203,226.343585377175
204,457.46552271448303
205,229.2956525704061
206,229.2956525704061
207,313.14001730469533
208,271.5537208198222
209,271.5537208198222
210,436.7446951422076
211,287.8076850978932
212,287.8076850978932
213,333.13599103470415
214,512.9000153804378
215,348.95997619629014
216,360.52001190185615
217,337.36200774667185
218,257.2780542502477
219,282.2000055319844
220,282.2000055319844
221,248.94827345296451
222,606.8992276565349
223,1822.0870236135015
224,455.4309122362492
225,1822.0870236135015
226,209.03671219990852
227,209.03671219990852
228,316.20999478728504
229,386.483320347825
230,1596.314901866372
231,627.1717911291704
232,125.0
233,282.22340788938686
234,1580.7073132418204
235,275.1218610877611
236,230.9528542033446
237,270.2390252096102
238,270.2390252096102
239,243.8952337238058
240,243.8952337238058
241,750.8830404061293
242,315.942538958782
243,750.8830404061293
244,337.0059716958306
245,337.0059716958306
246,217.74016980147076
247,342.02399760987475
248,241.62767754326967
249,241.62767754326967
250,200.0945004670374
251,281.34001235185536
252,308.2980294541188
253,308.2980294541188
254,385.1013678259303
255,385.1013678259303
256,308.2980294541041
257,781.0080057643082
258,249.9142778373692
259,258.93839540598464
260,270.2390171558607
261,270.2390171558607
262,220.56310983735855
263,220.56310983735855
264,324.58557514502303
265,583.781774122953
266,583.781774122953
267,376.7309561776911
268,376.7309561776911
269,256.4427301327809
270,256.4427301327809
271,387.1745206807078
272,259.39654567045943
273,259.39654567045943
274,222.03882762340956
275,222.03882762340956
276,303.4228389859455
277,222.87782372774188
278,301.2407309077628
279,257.4299881447762
280,257.4299881447762
281,288.17352802536453
282,288.17352802536453
283,459.3901539925977
284,726.2308441429403
285,539.8548220454275
286,726.2308441429403
287,229.78948015704228
288,229.78948015704228
289,301.0957075602153
290,301.0957075602153
291,244.01492797716148
292,255.6398818453144
293,381.4668307751175
294,381.4668307751175
295,415.03877953785474
296,415.03877953785474
297,206.9319361486954
298,206.9319361486954
299,285.2611490971224
300,600.950695093597
301,318.2198664000836
302,597.8438305342655
303,359.21479796656865
304,347.80735952259295
305,298.912819043986
306,298.912819043986
307,270.4123250875053
308,239.15453262794097
309,236.3321139150848
310,282.4933713752275
311,1349.664222169405
312,325.6600233811227
313,25.0
314,265.6423429378031
315,1349.664222169405
316,262.5954246936152
317,1531.5035024086674
318,335.5099989175524
319,1523.3727886227523
320,3744.692095644852
321,1016.8574065968156
